taxonRemarks,taxonID,scientificName,vernacularName,language
Flowering plants,floraislands.is/epilolat.html,Chamerion latifolium,Eyrarrós,is
Flowering plants,floraislands.is/belliper.html,Bellis perennis,Fagurfífill,is
Flowering plants,floraislands.is/hieraalp.html,Hieracium alpinum,Fellafífill,is
Flowering plants,floraislands.is/parisqua.html,Paris quadrifolia,Ferlaufungur,is
Flowering plants,floraislands.is/digitisc.html,Digitaria ischaemum,Fingragras,is
Flowering plants,floraislands.is/carnardi.html,Carex nardina,Finnungsstör,is
Flowering plants,floraislands.is/nardustr.html,Nardus stricta,Finnungur,is
Flowering plants,floraislands.is/juncuger.html,Juncus gerardi,Fitjasef,is
Flowering plants,floraislands.is/eleocqui.html,Eleocharis quinqueflora,Fitjaskúfur,is
Flowering plants,floraislands.is/campauni.html,Campanula uniflora,Fjallabláklukka,is
Flowering plants,floraislands.is/diapelap.html,Diapensia lapponica,Fjallabrúða,is
Flowering plants,floraislands.is/veronalp.html,Veronica alpina,Fjalladepla,is
Flowering plants,floraislands.is/epiloana.html,Epilobium anagallidifolium,Fjalladúnurt,is
Flowering plants,floraislands.is/phleualp.html,Phleum alpinum,Fjallafoxgras,is
Flowering plants,floraislands.is/cerasarc.html,Cerastium nigrescens var. laxum,Fjallafræhyrna,is
Flowering plants,floraislands.is/erigeuni.html,Erigeron uniflorum,Fjallakobbi,is
Flowering plants,floraislands.is/centamon.html,Centaurea montana,Fjallakornblóm,is
Flowering plants,floraislands.is/trisespi.html,Trisetum spicatum,Fjallalógresi,is
Flowering plants,floraislands.is/antenalp.html,Antennaria alpina,Fjallalójurt,is
Flowering plants,floraislands.is/minuabif.html,Minuartia biflora,Fjallanóra,is
Flowering plants,floraislands.is/deschalp.html,Deschampsia alpina,Fjallapuntur,is
Flowering plants,floraislands.is/sibbapro.html,Sibbaldia procumbens,Fjallasmári,is
Flowering plants,floraislands.is/carnorve.html,Carex norvegica,Fjallastör,is
Flowering plants,floraislands.is/poaalpin.html,Poa alpina,Fjallasveifgras,is
Flowering plants,floraislands.is/salixarc.html,Salix arctica,Fjallavíðir,is
Flowering plants,floraislands.is/drabaalp.html,Draba oxycarpa,Fjallavorblóm,is
Flowering plants,floraislands.is/geumriva.html,Geum rivale,Fjalldalafífill,is
Flowering plants,floraislands.is/betulnan.html,Betula nana,Fjalldrapi,is
Flowering plants,floraislands.is/luzulcon.html,Luzula confusa,Fjallhæra,is
Flowering plants,floraislands.is/sagincae.html,Sagina caespitosa,Fjallkrækill,is
Flowering plants,floraislands.is/potamalp.html,Potamogeton alpinus,Fjallnykra,is
Flowering plants,floraislands.is/omalonor.html,Omalotheca norvegica,Fjandafæla,is
Flowering plants,floraislands.is/honckpep.html,Honckenya peploides,Fjöruarfi,is
Flowering plants,floraislands.is/cakilarc.html,Cakile maritima subsp. islandica,Fjörukál,is
Flowering plants,floraislands.is/sedumvil.html,Sedum villosum,Flagahnoðri,is
Flowering plants,floraislands.is/juncubig.html,Juncus biglumis,Flagasef,is
